,PlaceJson,Estado
0,"Coyoacán, Distrito Federal",Ciudad de México
1,"Carmen, Campeche",Campeche
2,"Puebla, México",Puebla
3,"Puebla, México",Puebla
4,"Huixquilucan, México",Estado de México
5,"Atizapán de Zaragoza, México",Estado de México
6,"Cuauhtémoc, Distrito Federal",Ciudad de México
7,"Veracruz, Veracruz de Ignacio de la Llave",Veracruz de Ignacio de la Llave
8,"Xochimilco, Distrito Federal",Ciudad de México
9,"Actopan, Hidalgo",Hidalgo
10,"Benito Juárez, Distrito Federal",Ciudad de México
11,"Ixtapaluca, México",Estado de México
12,"Iztapalapa, Distrito Federal",Ciudad de México
13,"Benito Juárez, Distrito Federal",Ciudad de México
14,"Álvaro Obregón, Distrito Federal",Ciudad de México
15,"Culiacán, Sinaloa",Sinaloa
16,"Monterrey, Nuevo León",Nuevo León
17,"Benito Juárez, Quintana Roo",Quintana Roo
18,"Cuauhtémoc, Distrito Federal",Ciudad de México
19,"Álvaro Obregón, Distrito Federal",Ciudad de México
20,"Tlajomulco de Zúñiga, Jalisco",Jalisco
21,"Galeana, Nuevo León",Nuevo León
22,"Benito Juárez, Distrito Federal",Ciudad de México
23,"Piedras Negras, Coahuila de Zaragoza",Coahuila de Zaragoza
24,"Tlalnepantla de Baz, México",Estado de México
25,"Tlalpan, Distrito Federal",Ciudad de México
26,"San Nicolás de los Garza, Nuevo León",Nuevo León
27,"Zapopan, Jalisco",Jalisco
28,"Coacalco de Berriozábal, México",Estado de México
29,"San Nicolás de los Garza, Nuevo León",Nuevo León
30,"Guadalajara, Jalisco",Jalisco
31,"San Luis Potosí, México",San Luis Potosí
32,"Veracruz, Veracruz de Ignacio de la Llave",Veracruz de Ignacio de la Llave
33,"Altamira, Tamaulipas",Tamaulipas
34,"Ecatepec de Morelos, México",Estado de México
35,"Cuautitlán Izcalli, México",Estado de México
36,"Gustavo A. Madero, Distrito Federal",Ciudad de México
37,"Querétaro, Querétaro Arteaga",Querétaro
38,"La Magdalena Contreras, Distrito Federal",Ciudad de México
39,"Benito Juárez, Quintana Roo",Quintana Roo
40,"Álamos, Irapuato",Guanajuato
41,"Chimalhuacán, México",Estado de México
42,"Puebla, México",Puebla
43,"Guadalupe, Nuevo León",Nuevo León
44,"Kanasín, Yucatán",Yucatán
45,"Culiacán, Sinaloa",Sinaloa
46,"Monterrey, Nuevo León",Nuevo León
47,"Benito Juárez, Distrito Federal",Ciudad de México
48,"Salamanca, Guanajuato",Guanajuato
49,"Campeche, México",Campeche
50,"San Pedro Cholula, Puebla",Puebla
51,"Huixquilucan, México",Estado de México
52,"Comalcalco, Tabasco",Tabasco
53,"Tijuana, Baja California",Baja California
54,"San Luis Potosí, México",San Luis Potosí
55,"Oaxaca de Juárez, Oaxaca",Oaxaca
56,"Centro, Tabasco",Tabasco
57,"San Luis Potosí, México",San Luis Potosí
58,"Miguel Hidalgo, Distrito Federal",Ciudad de México
59,"Mérida, Yucatán",Yucatán
60,"Huixquilucan, México",Estado de México
61,verde claro,Rio Grande do Norte
62,"Hermosillo, Sonora",Sonora
63,"Magdalena, Sonora",Sonora
64,"Matamoros, Coahuila de Zaragoza",Coahuila de Zaragoza
65,"Bahía de Banderas, Nayarit",Nayarit
66,"Álvaro Obregón, Distrito Federal",Ciudad de México
67,"Tijuana, Baja California",Baja California
68,"Guadalajara, Jalisco",Jalisco
69,"Atizapán de Zaragoza, México",Estado de México
70,"Naucalpan de Juárez, México",Estado de México
71,"Benito Juárez, Distrito Federal",Ciudad de México
72,"Emiliano Zapata, Morelos",Morelos
73,"Monterrey, Nuevo León",Nuevo León
74,"Guadalajara, Jalisco",Jalisco
75,"Tlajomulco de Zúñiga, Jalisco",Jalisco
76,"Puebla, México",Puebla
77,"Kanasín, Yucatán",Yucatán
78,"San Pedro Garza García, Nuevo León",Nuevo León
79,"Hermosillo, Sonora",Sonora
80,"Ixtapaluca, México",Estado de México
81,"Miguel Hidalgo, Distrito Federal",Ciudad de México
82,"Coacalco de Berriozábal, México",Estado de México
83,"Fortín, Veracruz de Ignacio de la Llave",Veracruz de Ignacio de la Llave
84,"San Nicolás de los Garza, Nuevo León",Nuevo León
85,"Mexicali, Baja California",Baja California
86,"Hermosillo, Sonora",Sonora
87,"Gómez Palacio, Durango",Durango
88,"Jiutepec, Morelos",Morelos
89,"Gustavo A. Madero, Distrito Federal",Ciudad de México
90,"Mazatlán, Sinaloa",Sinaloa
91,"Cuauhtémoc, Distrito Federal",Ciudad de México
92,"Zapopan, Jalisco",Jalisco
93,"Minatitlán, Veracruz de Ignacio de la Llave",Veracruz de Ignacio de la Llave
94,"Residencial Zacatenco, Gustavo A. Madero",Ciudad de México
95,"Xalapa, Veracruz de Ignacio de la Llave",Veracruz de Ignacio de la Llave
96,"Mérida, Yucatán",Yucatán
97,"Miguel Hidalgo, Distrito Federal",Ciudad de México
98,"Zapotlán el Grande, Jalisco",Jalisco
99,"Veracruz, Veracruz de Ignacio de la Llave",Veracruz de Ignacio de la Llave
100,"Santa Catarina, Nuevo León",Nuevo León
101,"Gustavo A. Madero, Distrito Federal",Ciudad de México
102,"Benito Juárez, Quintana Roo",Quintana Roo
103,"Cuautitlán Izcalli, México",Estado de México
104,"Acapulco de Juárez, Guerrero",Guerrero
105,"Tultitlán, México",Estado de México
106,"Benito Juárez, Distrito Federal",Ciudad de México
107,"Querétaro, Querétaro Arteaga",Querétaro
108,"Orizaba, Veracruz de Ignacio de la Llave",Veracruz de Ignacio de la Llave
109,"Venustiano Carranza, Distrito Federal",Ciudad de México
110,"Centro, Tabasco",Tabasco
111,"Cuauhtémoc, Chihuahua",Chihuahua
112,"Jiutepec, Morelos",Morelos
113,"Morelia, Michoacán de Ocampo",Michoacán de Ocampo
114,"Ursulo Galván, Veracruz de Ignacio de la Llave",Veracruz de Ignacio de la Llave
115,"Durango, México",Durango
116,"Culiacán, Sinaloa",Sinaloa
117,"Cuauhtémoc, Distrito Federal",Ciudad de México
118,"Acapulco de Juárez, Guerrero",Guerrero
119,"San Pedro Garza García, Nuevo León",Nuevo León
120,"Culiacán, Sinaloa",Sinaloa
121,"General Escobedo, Nuevo León",Nuevo León
122,"Monterrey, Nuevo León",Nuevo León
123,"Puebla, México",Puebla
124,"Xochimilco, Distrito Federal",Ciudad de México
125,"Benito Juárez, Quintana Roo",Quintana Roo
126,"Querétaro, Querétaro Arteaga",Querétaro
127,"Bahía de Banderas, Nayarit",Nayarit
128,"Ahome, Sinaloa",Sinaloa
129,"Xalapa, Veracruz de Ignacio de la Llave",Veracruz de Ignacio de la Llave
130,"San Luis Potosí, México",San Luis Potosí
131,"Cuauhtémoc, Chihuahua",Chihuahua
132,"Guasave, Sinaloa",Sinaloa
133,"Tlalpan, Distrito Federal",Ciudad de México
134,México,Ciudad de México
135,"La Magdalena Contreras, Distrito Federal",Ciudad de México
136,"Guadalupe, Nuevo León",Nuevo León
137,"San Nicolás de los Garza, Nuevo León",Nuevo León
138,"Benito Juárez, Distrito Federal",Ciudad de México
139,"Tuxtla Gutiérrez, Chiapas",Chiapas
140,"Saltillo, Coahuila de Zaragoza",Coahuila de Zaragoza
141,"Coyoacán, Distrito Federal",Ciudad de México
142,"Benito Juárez, Quintana Roo",Quintana Roo
143,"Toluca, México",Estado de México
144,"Oaxaca de Juárez, Oaxaca",Oaxaca
145,"Jiutepec, Morelos",Morelos
146,"Iztapalapa, Distrito Federal",Ciudad de México
147,"Gustavo A. Madero, Distrito Federal",Ciudad de México
148,"Miguel Hidalgo, Distrito Federal",Ciudad de México
149,"Puebla, México",Puebla
150,"Álvaro Obregón, Distrito Federal",Ciudad de México
151,"Cuautlancingo, Puebla",Puebla
152,"Cuauhtémoc, Distrito Federal",Ciudad de México
153,"Tecámac, México",Estado de México
154,"León, Guanajuato",Guanajuato
155,"San Luis Potosí, México",San Luis Potosí
156,"Ecatepec de Morelos, México",Estado de México
157,"Tultitlán, México",Estado de México
158,"Guadalajara, Jalisco",Jalisco
159,"Guadalupe, Nuevo León",Nuevo León
160,"La Magdalena Contreras, Distrito Federal",Ciudad de México
161,"La Paz, México",Estado de México
162,"Tampico, Tamaulipas",Tamaulipas
163,"Querétaro, Querétaro Arteaga",Querétaro
164,"Asunción Nochixtlán, Oaxaca",Oaxaca
165,"Elota, Sinaloa",Sinaloa
166,"Veracruz, Veracruz de Ignacio de la Llave",Veracruz de Ignacio de la Llave
167,"Benito Juárez, Distrito Federal",Ciudad de México
168,"Nuevo Laredo, Tamaulipas",Tamaulipas
169,"Monterrey, Nuevo León",Nuevo León
170,"Zapopan, Jalisco",Jalisco
171,"Benito Juárez, Distrito Federal",Ciudad de México
172,"Cuauhtémoc, Distrito Federal",Ciudad de México
173,"Ecatepec de Morelos, México",Estado de México
174,"Guadalajara, Jalisco",Jalisco
175,"Álamos, Irapuato",Guanajuato
176,"Morelia, Michoacán de Ocampo",Michoacán de Ocampo
177,"Cuauhtémoc, Distrito Federal",Ciudad de México
178,"Ciudad Madero, Tamaulipas",Tamaulipas
179,"Gómez Palacio, Durango",Durango
180,"Mérida, Yucatán",Yucatán
181,"Querétaro, Querétaro Arteaga",Querétaro
182,"Saltillo, Coahuila de Zaragoza",Coahuila de Zaragoza
183,"Venustiano Carranza, Distrito Federal",Ciudad de México
184,"Cuautitlán Izcalli, México",Estado de México
185,"Santiago, Nuevo León",Nuevo León
186,"Iztapalapa, Distrito Federal",Ciudad de México
187,"Zapopan, Jalisco",Jalisco
188,"Zapopan, Jalisco",Jalisco
189,"Tijuana, Baja California",Baja California
190,"Zapopan, Jalisco",Jalisco
191,"Zapopan, Jalisco",Jalisco
192,"Benito Juárez, Distrito Federal",Ciudad de México
193,"Aguascalientes, México",Aguascalientes
194,"Miguel Hidalgo, Distrito Federal",Ciudad de México
195,"Benito Juárez, Distrito Federal",Ciudad de México
196,"Mérida, Yucatán",Yucatán
197,"Tlajomulco de Zúñiga, Jalisco",Jalisco
198,"Bahía de Banderas, Nayarit",Nayarit
199,"Guadalajara, Jalisco",Jalisco
200,"Pachuca de Soto, Hidalgo",Hidalgo
201,"Tlaltizapán, Morelos",Morelos
202,"Naucalpan de Juárez, México",Estado de México
203,"Jiutepec, Morelos",Morelos
204,"Durango, México",Durango
205,"San Nicolás de los Garza, Nuevo León",Nuevo León
206,"Tultitlán, México",Estado de México
207,"León, Guanajuato",Guanajuato
208,"Zapopan, Jalisco",Jalisco
209,"El Marqués, Querétaro Arteaga",Querétaro
210,"Xochimilco, Distrito Federal",Ciudad de México
211,"Soledad de Doblado, Veracruz de Ignacio de la Llave",Veracruz de Ignacio de la Llave
212,"Durango, México",Durango
213,"Puebla, México",Puebla
214,"San Andrés Cholula, Puebla",Puebla
215,"Mexicali, Baja California",Baja California
216,"Puebla, México",Puebla
217,"Naucalpan de Juárez, México",Estado de México
218,"Monterrey, Nuevo León",Nuevo León
219,"Veracruz, Veracruz de Ignacio de la Llave",Veracruz de Ignacio de la Llave
220,"Hermosillo, Sonora",Sonora
221,"Miguel Hidalgo, Distrito Federal",Ciudad de México
222,"Mérida, Yucatán",Yucatán
223,"Benito Juárez, Distrito Federal",Ciudad de México
224,"Venustiano Carranza, Distrito Federal",Ciudad de México
225,"Zempoala, Hidalgo",Hidalgo
226,"Mazatlán, Sinaloa",Sinaloa
227,"Saltillo, Coahuila de Zaragoza",Coahuila de Zaragoza
228,"Miguel Hidalgo, Distrito Federal",Ciudad de México
229,"Coyoacán, Distrito Federal",Ciudad de México
230,"Atizapán de Zaragoza, México",Estado de México
231,"Iztapalapa, Distrito Federal",Ciudad de México
232,"Tijuana, Baja California",Baja California
233,"Mazatlán, Sinaloa",Sinaloa
234,"Oaxaca de Juárez, Oaxaca",Oaxaca
235,"Celestún, Yucatán",Yucatán
236,"Ayala, Morelos",Morelos
237,"Guadalajara, Jalisco",Jalisco
238,"Miguel Hidalgo, Distrito Federal",Ciudad de México
239,"Nuevo Laredo, Tamaulipas",Tamaulipas
240,"Veracruz, Veracruz de Ignacio de la Llave",Veracruz de Ignacio de la Llave
241,"Cuauhtémoc, Distrito Federal",Ciudad de México
242,"San Francisco del Rincón, Guanajuato",Guanajuato
243,"Monterrey, Nuevo León",Nuevo León
244,"Zapopan, Jalisco",Jalisco
245,"Zapopan, Jalisco",Jalisco
246,"Zapopan, Jalisco",Jalisco
247,"Tenancingo, México",Estado de México
248,"Cuautlancingo, Puebla",Puebla
249,"Benito Juárez, Distrito Federal",Ciudad de México
250,"Apodaca, Nuevo León",Nuevo León
251,"Guadalupe, Nuevo León",Nuevo León
252,"Texcoco, México",Estado de México
253,"Mazatlán, Sinaloa",Sinaloa
254,"Tláhuac, Distrito Federal",Ciudad de México
255,"Guadalupe, Nuevo León",Nuevo León
256,"Carmen, Campeche",Campeche
257,"Puebla, México",Puebla
258,"Miguel Hidalgo, Distrito Federal",Ciudad de México
259,"Tuxtla Gutiérrez, Chiapas",Chiapas
260,"Uruapan, Michoacán de Ocampo",Michoacán de Ocampo
261,"Ahome, Sinaloa",Sinaloa
262,"Querétaro, Querétaro Arteaga",Querétaro
263,"Armadillo de los Infante, San Luis Potosí",San Luis Potosí
264,"Querétaro, Querétaro Arteaga",Querétaro
265,"Mérida, Yucatán",Yucatán
266,"Celaya, Guanajuato",Guanajuato
267,"Gustavo A. Madero, Distrito Federal",Ciudad de México
268,"Cuauhtémoc, Distrito Federal",Ciudad de México
269,"Guadalajara, Jalisco",Jalisco
270,"Iztapalapa, Distrito Federal",Ciudad de México
271,"Tampico, Tamaulipas",Tamaulipas
272,"El Mante, Tamaulipas",Tamaulipas
273,"Cuauhtémoc, Distrito Federal",Ciudad de México
274,"León, Guanajuato",Guanajuato
275,"Monterrey, Nuevo León",Nuevo León
276,"Apodaca, Nuevo León",Nuevo León
277,"Linares, Nuevo León",Nuevo León
278,"Mazatlán, Sinaloa",Sinaloa
279,"Miguel Hidalgo, Distrito Federal",Ciudad de México
280,"Armadillo de los Infante, San Luis Potosí",San Luis Potosí
281,"San Luis Potosí, México",San Luis Potosí
282,"Guadalajara, Jalisco",Jalisco
283,"Azcapotzalco, Distrito Federal",Ciudad de México
284,"Cajeme, Sonora",Sonora
285,"San Luis Potosí, México",San Luis Potosí
286,"Mazatlán, Sinaloa",Sinaloa
287,"Ecatepec de Morelos, México",Estado de México
288,"Morelos, Zacatecas",Zacatecas
289,"Acatlán, Puebla",Puebla
290,"Coyoacán, Distrito Federal",Ciudad de México
291,"García, Nuevo León",Nuevo León
292,"Cuautitlán Izcalli, México",Estado de México
293,"Coyoacán, Distrito Federal",Ciudad de México
294,"Tonalá, Jalisco",Jalisco
295,"Iztapalapa, Distrito Federal",Ciudad de México
296,"Huauchinango, Puebla",Puebla
297,"Zapopan, Jalisco",Jalisco
298,"Celaya, Guanajuato",Guanajuato
299,"Tuxtla Gutiérrez, Chiapas",Chiapas
300,"Panotla, Tlaxcala",Tlaxcala
301,"Santa María Huatulco, Oaxaca",Oaxaca
302,"Mérida, Yucatán",Yucatán
303,"Mazatlán, Sinaloa",Sinaloa
304,"Jiutepec, Morelos",Morelos
305,"Cuauhtémoc, Distrito Federal",Ciudad de México
306,"Solidaridad, Quintana Roo",Quintana Roo
307,"Monterrey, Nuevo León",Nuevo León
308,"Puebla, México",Puebla
309,"General Escobedo, Nuevo León",Nuevo León
310,Palacio Nacional,Ciudad de México
311,"Guadalajara, Jalisco",Jalisco
312,"Guadalajara, Jalisco",Jalisco
